clip,0,1,2,3,4
/content/videos/1_1_crop.mp4,0.0,0.0,129.2,0.0,0.0
/content/videos/1_2_crop.mp4,0.0,0.0,128.53333333333333,0.0,0.0
/content/videos/1_3_crop.mp4,0.0,0.0,176.66666666666666,0.0,0.0
/content/videos/2_1_crop.mp4,0.0,0.0,125.73333333333335,0.0,0.0
/content/videos/2_2_crop.mp4,0.8000000000000114,0.3999999999999915,121.2,0.6666666666666714,0.0
/content/videos/2_3_crop.mp4,0.0,0.0,118.4,0.0,0.0
/content/videos/3_1_crop.mp4,1.1999999999999993,0.0,121.19999999999999,0.0,0.0
/content/videos/3_2_crop.mp4,0.0,0.0,124.66666666666667,0.0,0.0
/content/videos/3_3_crop.mp4,0.0,0.0,116.8,0.0,0.0
/content/videos/4_1_crop.mp4,0.0,0.0,131.60000000000002,0.0,0.0
/content/videos/4_2_crop.mp4,0.0,0.0,128.13333333333333,0.2666666666666657,0.0
/content/videos/4_3_crop.mp4,0.0,0.0,125.6,0.0,0.0
/content/videos/5_1_crop.mp4,0.13333333333333286,0.0,122.93333333333334,0.0,0.0
/content/videos/5_2_crop.mp4,0.0,0.0,131.46666666666667,0.0,0.0
/content/videos/5_3_crop.mp4,0.0,0.0,140.8,0.0,0.0
/content/videos/6_1_crop.mp4,0.39999999999999947,0.7999999999999972,119.99999999999999,0.0,0.6666666666666865
/content/videos/6_2_crop.mp4,0.0,0.9333333333333513,127.06666666666666,0.0,0.0
/content/videos/6_3_crop.mp4,0.0,4.5333333333333385,120.0,0.0,0.0
/content/videos/7_1_crop.mp4,0.8000000000000149,0.0,124.93333333333335,0.0,0.0
/content/videos/7_2_crop.mp4,0.0,0.0,129.33333333333334,0.26666666666667993,0.0
